node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
2638,20.66178,-103.3449,1,3,1,0.0021784512749640724,0.031784339824248956,9.511433242620637e-09
2639,20.66106,-103.3387425,4,3,5,0.0017829949375168601,0.031345784750335545,6.788347500430516e-12
2640,20.651025999999998,-103.33091199999998,5,5,6,0.023228288573737356,0.03365747789200305,5.078171565966586e-15
2641,20.6401,-103.32537,1,2,1,0.0019316132545219111,0.03004240828251636,4.3880752232907043e-16
2642,20.63856,-103.32291,1,1,1,0.0019309901169244058,0.029059530974071504,3.79036335473893e-17
2643,20.63833,-103.31994,1,1,2,0.0019303669793269004,0.02811222987138554,3.274956760759738e-18
2644,20.6367,-103.31518,1,3,1,0.001317539476616535,0.03097812248001127,3.8081370948724464e-14
2645,20.63638,-103.30741,1,1,1,0.0007895719849119126,0.030828635009778,1.3215228603989768e-15
2646,20.63455,-103.29806,1,3,2,0.001008803121488832,0.030655968533458085,6.877207838289207e-16
2647,20.632785,-103.29022499999999,2,2,3,0.0005305450154033949,0.02852200412386804,7.432832984696649e-18
2648,20.66782,-103.26056,1,1,1,0.00023509282087705823,0.022735614867420664,1.8128338882359536e-23
2649,20.66929,-103.26054500000001,2,1,1,0.00023446968327955276,0.022350256081408896,2.3207269800506644e-24
2650,20.674329999999998,-103.260245,2,2,2,0.0009389550616957205,0.023784488170540477,1.4160937244736198e-22
2651,20.68107,-103.25652,1,2,1,0.0007404007635814822,0.022652458365118824,1.0933095641480298e-22
2652,20.68203,-103.25662,1,1,1,0.0007397776259839767,0.02228712548967897,1.3996169020007442e-23
2653,20.68353,-103.25621,1,1,1,0.0007391544883864712,0.02186863445103714,1.79174099701909e-24
2654,20.68364,-103.260505,2,2,3,0.0010081233350188261,0.022414288487691288,1.716268442865907e-24
2655,20.693685000000002,-103.29031,2,2,2,0.00037864106379331496,0.026672092005412668,2.0610065411051976e-23
2656,20.69015,-103.30939,1,1,1,0.000360598397901907,0.029541686628197176,9.948250360944823e-20
2657,20.688835,-103.31140500000001,2,2,2,0.0018168143143996562,0.029701989087905247,3.523945578662328e-18
2658,20.687635,-103.31332,2,2,2,0.0016486238119456835,0.029683910390008367,4.0322229864735814e-17
2659,20.68681666666667,-103.31466333333333,3,2,2,0.001816474421164653,0.030198929285201202,4.5901080432972115e-16
2660,20.684828333333332,-103.317475,6,6,6,0.004828948162996027,0.031020049979802344,5.225160863595145e-15
2661,20.6752,-103.3266,1,1,2,0.002012224600090117,0.03207231756309618,4.983266067459806e-17
2662,20.701615,-103.283865,2,2,2,0.000468882717686605,0.02441091894897303,9.604105514494303e-26
2663,20.676815,-103.2612475,4,5,8,0.008534095993327216,0.024410657379721125,1.1038598416223384e-21
2664,20.67937,-103.25633,1,1,1,0.0005779884461225602,0.023216489245301633,1.413122810268359e-22
2665,20.682775,-103.267075,2,2,2,0.0002471023818471634,0.023277497166667004,1.1614889324524309e-23
2666,20.68737,-103.2709,1,1,1,6.854513572560011e-06,0.023315338642306498,1.531236117734314e-24
2667,20.69508,-103.28405,1,1,1,0.0022955539359013474,0.025136584398401843,4.606647306798419e-25
2668,20.74229,-103.347785,2,3,3,0.00034975013881806204,0.025099750270434613,5.596434124340105e-23
